name,link,num_nodes,num_edges,services,goals
LeasePlan: Leverages Serverless to Increase Driver Safety Reduce Fleet Costs and Lower Risk,https://www.youtube.com/watch?v=QOtCpD23118,11,10,"ThirdParty,Glue,Athena,SQS,S3,Lambda,Kinesis,UserCompanyEdge",data_ingestion
Kainos: Kainos Advances Patient Care with Next Generation Interoperability Platform,https://www.youtube.com/watch?v=4WjXH8Wp0E4,14,22,"ThirdParty,EC2,Lambda,SQS,UserConsumerWeb,StorageGateway,S3,DirectConnect,UserConsumerHospital,RDS","data_ingestion,interactive"
NewsUK: Rendering News Content with GraphQL and a Serverless Architecture,https://www.youtube.com/watch?v=Kp088QTRmLk,9,10,"ThirdParty,CloudFront,WAF,UserConsumerWeb,ApiGateway,Lambda,Route53",interactive
Xero: Building a Scalable Self-Service Portal for Thousands of Developers Provisioning Resources,https://www.youtube.com/watch?v=Felt-hOU6kU,7,4,"ALB,SQS,RAM,EKS,RDS,UserCompanyDeveloper",control
Ticketmaster: Active-Active Multi-Region Checkout for Ticket Purchases,https://www.youtube.com/watch?v=6iK4WNj6QqI,6,10,"StepFunctions,DynamoDB,UserConsumerWeb,AppSync,Lambda,EKS",interactive
MakeMyTrip: Building Next Generation SOC,https://www.youtube.com/watch?v=-3lnf5lzsH0,13,16,"ThirdParty,EC2,UserCompanyAnalyst,OnPremDC,CloudTrail,WAF,EMR,GuardDuty,Athena,SQS,S3,SNS",data_ingestion
Triboo: Hosting Magento on Containers Italian,https://www.youtube.com/watch?v=6sew_hdI6cY,15,18,"ElastiCache,RedShift,EC2,CloudFront,OpenSearch,WAF,VPN,Aurora,S3,EFS,Lambda,EKS,Route53",other
Atlassian: Secure Code Invocation at Scale with Atlassian Forge on AWS,https://www.youtube.com/watch?v=H2fOkeXxpyw,8,10,"DynamoDB,EC2,UserConsumerWeb,SQS,Lambda,UserCompanyDeveloper",control
Biogen: Centralized Logging Solution for Multi Accounts,https://www.youtube.com/watch?v=m8xtR3-ZQs8,10,10,"ThirdParty,EC2,Firehose,OpenSearch,CloudTrail,S3,Lambda,CloudWatch",data_ingestion
Pushpay Holdings Ltd : Strangling a Monolithic Application While Moving to Microservices on AWS,https://www.youtube.com/watch?v=9Cg81Xgg7LQ,7,7,"ThirdParty,DynamoDB,EC2,Kinesis,ECS,XRay",other
ViacomCBS: Multiplatform Distribution Powered by AWS,https://www.youtube.com/watch?v=UsngU-HjH_Q,9,10,"ThirdParty,DynamoDB,UserConsumerAPI,EC2,Lambda,SQS,ApiGateway,S3,UserCompanyDataStream",control
