name,link,stores
Aizon: Seamlessly Integrating Data to Deliver Actionable Insights in Highly Regulated Industries,https://www.youtube.com/watch?v=uhrheMJTV4A,"OpenSearch,Kinesis,DynamoDB,S3"
Triboo: Hosting Magento on Containers Italian,https://www.youtube.com/watch?v=6sew_hdI6cY,"ElastiCache,RedShift,OpenSearch,Aurora,S3,EFS"
Toyota Motor NA: Lake House Architecture for Data and Analytics,https://www.youtube.com/watch?v=Kp51k6LY-2c,"RDS,RedShift,S3"
Korean Airline: Data Warehouse Modernization on AWS Korean,https://www.youtube.com/watch?v=YosezjoL4MU,"RDS,RedShift,S3"
Majid Al Futtaim: Building a Custom Data Management Solution on AWS,https://www.youtube.com/watch?v=9qTEHITVeLE,"MSK,RDS,S3"
Lockheed Martin: Using Alexa for Business to Securely Access Program Management Status,https://www.youtube.com/watch?v=Wur1GWB03hk,"DynamoDB,RDS,S3"
Enoptea: PHP Layer for AWS Lambda French,https://www.youtube.com/watch?v=vb-o1DvvHxk,"ElastiCache,RDS,S3"
SBB Cargo: Data Collection and Processing with Serverless Analytics Services,https://www.youtube.com/watch?v=4-teOQ_dJvY,"Kinesis,DynamoDB,KinesisAnalytics"
Vizio: Smart TV Analytics at Scale,https://www.youtube.com/watch?v=BlCXEMp_lqY,"S3,Kinesis,RedShift,QuickSight"
CM Group: Building an Available Scalable Reliable Email Delivery System,https://www.youtube.com/watch?v=zhCNn7v7mvs,"ElastiCache,Aurora,S3"
Launchmetrics: How Launchmetrics Produces Fashion Luxury and Beauty Data Insights for 1B Users,https://www.youtube.com/watch?v=PBa68gCG0Uk,"OpenSearch,Kinesis,Aurora"
CMD by Mantel Group: Ensuring Safe Vessel Transit at Sea Ports with Data,https://www.youtube.com/watch?v=gcgtLDB0cKA,"MSK,DynamoDB,S3"
Haptik: Data Lake for Conversational AI,https://www.youtube.com/watch?v=r2xfxJ-sXMY,"OpenSearch,Kinesis,S3"
ADP: Unmatched People Data for Extraordinary Outcomes,https://www.youtube.com/watch?v=KiH7hVJKzns,"OpenSearch,MSK,ElastiCache,Aurora"
MailUp Group: Marketing Campaign Planning and Management Italian,https://www.youtube.com/watch?v=HwHVFWdczVw,"ElastiCache,RDS,DynamoDB,S3"
"Ookla: Speedtest Intelligence Process 4,000 Reports per Second While Providing Near Real-time Insights",https://www.youtube.com/watch?v=kHPGZOpbnok,"Kinesis,RDS,RedShift,S3"
Infor: Ingest and Analyze Millions of Application Events Daily for Compliance Violations,https://www.youtube.com/watch?v=0gNMEyei-co,"Kinesis,Aurora,S3"
Veritiv: Enable Insights to Forecast Sales Demand on AWS Data Lakes,https://www.youtube.com/watch?v=jg85DzUZ9Ac,"DynamoDB,RedShift,S3"
"Zigbang: A Hybrid API of Serverless and ECS, Infra as a Code via CDK",https://www.youtube.com/watch?v=0F7KDLz-kIQ,"OpenSearch,ElastiCache,RDS,DocumentDB"
Ippon with Euler Hermes: Transforming a Monolithic Application of Data Analytics with Microservices,https://www.youtube.com/watch?v=fRv8sOUyhZw,"OpenSearch,Kinesis,DynamoDB,S3"
Salesflo: Transforming FieldForce Operations Using EventDriven Architecture,https://www.youtube.com/watch?v=qi017F1UwvM,"Kinesis,ElastiCache,RDS,S3"
